,day,new_diagnoses,new_deaths,key,population,continentExp,date
9523,58,0,0,Nigeria,195874740,Africa,2020-02-27
9522,59,1,0,Nigeria,195874740,Africa,2020-02-28
9521,60,0,0,Nigeria,195874740,Africa,2020-02-29
9520,61,0,0,Nigeria,195874740,Africa,2020-03-01
9519,62,0,0,Nigeria,195874740,Africa,2020-03-02
9518,70,1,0,Nigeria,195874740,Africa,2020-03-10
9517,75,0,0,Nigeria,195874740,Africa,2020-03-15
9516,76,0,0,Nigeria,195874740,Africa,2020-03-16
9515,77,0,0,Nigeria,195874740,Africa,2020-03-17
9514,78,1,0,Nigeria,195874740,Africa,2020-03-18
9513,79,5,0,Nigeria,195874740,Africa,2020-03-19
9512,80,0,0,Nigeria,195874740,Africa,2020-03-20
9511,81,4,0,Nigeria,195874740,Africa,2020-03-21
9510,82,10,0,Nigeria,195874740,Africa,2020-03-22
9509,83,8,0,Nigeria,195874740,Africa,2020-03-23
9508,84,10,1,Nigeria,195874740,Africa,2020-03-24
9507,85,4,0,Nigeria,195874740,Africa,2020-03-25
9506,86,7,0,Nigeria,195874740,Africa,2020-03-26
9505,87,14,0,Nigeria,195874740,Africa,2020-03-27
9504,88,16,0,Nigeria,195874740,Africa,2020-03-28
9503,89,16,0,Nigeria,195874740,Africa,2020-03-29
9502,90,0,0,Nigeria,195874740,Africa,2020-03-30
9501,91,34,1,Nigeria,195874740,Africa,2020-03-31
9500,92,0,0,Nigeria,195874740,Africa,2020-04-01
9499,93,20,0,Nigeria,195874740,Africa,2020-04-02
9498,94,23,0,Nigeria,195874740,Africa,2020-04-03
9497,95,16,0,Nigeria,195874740,Africa,2020-04-04
9496,96,20,2,Nigeria,195874740,Africa,2020-04-05
9495,97,22,1,Nigeria,195874740,Africa,2020-04-06
9494,98,6,0,Nigeria,195874740,Africa,2020-04-07
9493,99,16,1,Nigeria,195874740,Africa,2020-04-08
9492,100,22,0,Nigeria,195874740,Africa,2020-04-09
9491,101,12,1,Nigeria,195874740,Africa,2020-04-10
9490,102,17,0,Nigeria,195874740,Africa,2020-04-11
9489,103,13,3,Nigeria,195874740,Africa,2020-04-12
9488,104,5,0,Nigeria,195874740,Africa,2020-04-13
9487,105,20,0,Nigeria,195874740,Africa,2020-04-14
9486,106,30,1,Nigeria,195874740,Africa,2020-04-15
9485,107,34,1,Nigeria,195874740,Africa,2020-04-16
9484,108,35,1,Nigeria,195874740,Africa,2020-04-17
9483,109,51,4,Nigeria,195874740,Africa,2020-04-18
9482,110,49,2,Nigeria,195874740,Africa,2020-04-19
9481,111,85,2,Nigeria,195874740,Africa,2020-04-20
9480,112,38,1,Nigeria,195874740,Africa,2020-04-21
9479,113,117,3,Nigeria,195874740,Africa,2020-04-22
9478,114,91,3,Nigeria,195874740,Africa,2020-04-23
9477,115,108,3,Nigeria,195874740,Africa,2020-04-24
9476,116,114,1,Nigeria,195874740,Africa,2020-04-25
9475,117,87,3,Nigeria,195874740,Africa,2020-04-26
9474,118,91,5,Nigeria,195874740,Africa,2020-04-27
9473,119,64,0,Nigeria,195874740,Africa,2020-04-28
9472,120,195,4,Nigeria,195874740,Africa,2020-04-29
9471,121,196,7,Nigeria,195874740,Africa,2020-04-30
